h3,population,geometry
86216ecefffffff,30.0,"POLYGON ((71.93029038461412 56.46537918338406, 71.93908185633101 56.430061113456986, 71.99969006900871 56.41649435327149, 72.05157293240939 56.43822945955051, 72.04287179591306 56.47355337630964, 71.98219741862223 56.48713636107409, 71.93029038461412 56.46537918338406))"
86216ecdfffffff,1.0,"POLYGON ((71.9566218068235 56.359399279216824, 71.9653703548056 56.32405556743724, 72.02582221390855 56.31046724896019, 72.07759126148035 56.33220644467933, 72.06893263089907 56.36755596749719, 72.00841499361707 56.38116050459626, 71.9566218068235 56.359399279216824))"
86216ecd7ffffff,1.0,"POLYGON ((71.84435218680245 56.35114057105903, 71.85319051858691 56.315802780671184, 71.91366661121093 56.30226833619705, 71.9653703548056 56.32405556743724, 71.9566218068235 56.359399279216824, 71.89607968915448 56.372949859345304, 71.84435218680245 56.35114057105903))"
86216ecb7ffffff,10.0,"POLYGON ((71.50779893119383 56.32575310084688, 71.51690579348369 56.29043373469176, 71.57745167436576 56.277061008651245, 71.62895740376807 56.298991785298206, 71.61993991290792 56.33431740266405, 71.55932727725741 56.34770601297412, 71.50779893119383 56.32575310084688))"
86216eca7ffffff,3.0,"POLYGON ((71.55024293602094 56.38301566369756, 71.55932727725741 56.34770601297412, 71.61993991290792 56.33431740266405, 71.6715349929568 56.356222535147865, 71.66254029905608 56.39153840047925, 71.60186083385825 56.40494293958895, 71.55024293602094 56.38301566369756))"
86216ec9fffffff,268.0,"POLYGON ((71.68948050727462 56.28556513807231, 71.69843139809045 56.25022365909998, 71.75886504066413 56.236759113329704, 71.81041394770753 56.25862005944276, 71.8015524306242 56.29396760688631, 71.74105258986422 56.30744816059996, 71.68948050727462 56.28556513807231))"
86216ec97ffffff,96.0,"POLYGON ((71.57745167436576 56.277061008651245, 71.58649180123778 56.24172570788138, 71.64694846490899 56.22831498476139, 71.69843139809045 56.25022365909998, 71.68948050727462 56.28556513807231, 71.62895740376807 56.298991785298206, 71.57745167436576 56.277061008651245))"
86216ec67ffffff,18.0,"POLYGON ((71.83407129015619 56.62006479844574, 71.84297316738939 56.58478862557616, 71.90382956601782 56.57128168985989, 71.95585092007634 56.59303475607676, 71.9470399416482 56.62831688542592, 71.88611666721745 56.64184001328294, 71.83407129015619 56.62006479844574))"
86216ebb7ffffff,189.0,"POLYGON ((72.34835467497462 56.87194183285208, 72.35688459929632 56.836689358028416, 72.41793089073893 56.82295346523948, 72.4705135962598 56.84445344685192, 72.4620760979343 56.879711392298, 72.40096342698209 56.89346390716216, 72.34835467497462 56.87194183285208))"
86216ebafffffff,815.0,"POLYGON ((72.50633831625248 56.93643165584123, 72.51475038949506 56.90118422759482, 72.575835780703 56.88737703342713, 72.62857523720943 56.908800539792644, 72.620256002148 56.94405328769605, 72.55910443197209 56.957877231354146, 72.50633831625248 56.93643165584123))"
86216eba7ffffff,19.0,"POLYGON ((72.39245864430377 56.92870590309621, 72.40096342698209 56.89346390716216, 72.4620760979343 56.879711392298, 72.51475038949506 56.90118422759482, 72.50633831625248 56.93643165584123, 72.44515920098212 56.950200838200516, 72.39245864430377 56.92870590309621))"
86216eb1fffffff,2324.0,"POLYGON ((72.55071795849362 56.99311407437156, 72.55910443197209 56.957877231354146, 72.620256002148 56.94405328769605, 72.67308730012901 56.96544941393456, 72.66479394889176 57.00069153798704, 72.60357613708983 57.014532276612265, 72.55071795849362 56.99311407437156))"
86216ea87ffffff,40.0,"POLYGON ((72.71434877370162 56.789106796397206, 72.7225602464421 56.75381205307655, 72.7833650120807 56.739891672023575, 72.83602346289474 56.76124919839978, 72.82790435854469 56.79654903944756, 72.76703439611484 56.810486278124344, 72.71434877370162 56.789106796397206))"
86216ea37ffffff,2795.0,"POLYGON ((72.620256002148 56.94405328769605, 72.62857523720943 56.908800539792644, 72.68963284523413 56.89493868948465, 72.7424370901531 56.91631277787492, 72.73421081992913 56.951570732590035, 72.67308730012901 56.96544941393456, 72.620256002148 56.94405328769605))"
86216e8f7ffffff,57.0,"POLYGON ((72.0773594544651 56.799202975543935, 72.08609823838376 56.763951443436596, 72.14713022412019 56.750341220275665, 72.19949021617444 56.771966139466244, 72.19084331084875 56.80722340428107, 72.12974449250576 56.82085003866786, 72.0773594544651 56.799202975543935))"
86216e7b7ffffff,89.0,"POLYGON ((72.52457425162252 56.12982789225014, 72.53281586124986 56.094396229441685, 72.59276536679998 56.08051463074615, 72.64453693406706 56.10204814656485, 72.63638477083693 56.13748503547592, 72.57637155580856 56.15138320355423, 72.52457425162252 56.12982789225014))"
86216e7afffffff,59.0,"POLYGON ((72.68011761488576 56.19441922763397, 72.68824480813794 56.158992157852964, 72.74823093700621 56.14504060570127, 72.80015334915026 56.16649945197162, 72.79211598993606 56.20193159839701, 72.73206634705228 56.21589984311296, 72.68011761488576 56.19441922763397))"
86216e7a7ffffff,159.0,"POLYGON ((72.56815464766208 56.18680508563564, 72.57637155580856 56.15138320355423, 72.63638477083693 56.13748503547592, 72.68824480813794 56.158992157852964, 72.68011761488576 56.19441922763397, 72.62004063138329 56.20833400849242, 72.56815464766208 56.18680508563564))"
86216e797ffffff,149.0,"POLYGON ((72.59276536679998 56.08051463074615, 72.60094233384741 56.04506799284146, 72.66080160726355 56.03114969592364, 72.712547274806 56.0526614519811, 72.70445960630798 56.08811324364285, 72.64453693406706 56.10204814656485, 72.59276536679998 56.08051463074615))"
86216e78fffffff,29.0,"POLYGON ((72.74823093700621 56.14504060570127, 72.7562935343759 56.109598601542146, 72.81618889751769 56.09561041824586, 72.86808482836362 56.117047531654805, 72.86011191436997 56.15249454003108, 72.80015334915026 56.16649945197162, 72.74823093700621 56.14504060570127))"
86216e787ffffff,1.0,"POLYGON ((72.63638477083693 56.13748503547592, 72.64453693406706 56.10204814656485, 72.70445960630798 56.08811324364285, 72.7562935343759 56.109598601542146, 72.74823093700621 56.14504060570127, 72.68824480813794 56.158992157852964, 72.63638477083693 56.13748503547592))"
86216e757ffffff,45.0,"POLYGON ((72.8802288322988 56.31560374127084, 72.88821521027435 56.28019152063762, 72.94830034654713 56.266153021492684, 73.00046243621412 56.28750990559113, 72.99256654773627 56.32292701374375, 72.93241804335466 56.3369823716647, 72.8802288322988 56.31560374127084))"
86216e74fffffff,119.0,"POLYGON ((73.03694793206809 56.37966392885174, 73.04481780509153 56.34425692766472, 73.10493749007182 56.33014799873239, 73.1572504257768 56.35142911141762, 73.1494714268246 56.386840849030264, 73.0892885820331 56.400966759032514, 73.03694793206809 56.37966392885174))"
86216e71fffffff,28.0,"POLYGON ((72.72396429089724 56.25131702372012, 72.73206634705228 56.21589984311296, 72.79211598993606 56.20193159839701, 72.84412711024511 56.22336381955102, 72.83611515717374 56.258786038103715, 72.77600194330664 56.2727710188276, 72.72396429089724 56.25131702372012))"
86216e717ffffff,25.0,"POLYGON ((72.61184859096208 56.24374603989776, 72.62004063138329 56.20833400849242, 72.68011761488576 56.19441922763397, 72.73206634705228 56.21589984311296, 72.72396429089724 56.25131702372012, 72.6638234803353 56.2652484608662, 72.61184859096208 56.24374603989776))"
86216e707ffffff,22.0,"POLYGON ((72.65565647484594 56.30065057173971, 72.6638234803353 56.2652484608662, 72.72396429089724 56.25131702372012, 72.77600194330664 56.2727710188276, 72.76792519233184 56.30817824030981, 72.7077204965415 56.32212637736139, 72.65565647484594 56.30065057173971))"
86216e6f7ffffff,15.0,"POLYGON ((73.03974929896637 56.1103002076164, 73.04756837254725 56.074833620363236, 73.10731657861115 56.060702670522886, 73.1593080526769 56.0820214078979, 73.15157873732325 56.11749270455477, 73.09176815428947 56.13164057570469, 73.03974929896637 56.1103002076164))"
86216e6dfffffff,12.0,"POLYGON ((73.21902730814739 56.067837360976156, 73.22669298749733 56.032351554196524, 73.28632101187414 56.01813147229906, 73.3383451300441 56.039380184860235, 73.3307691626552 56.07487051747227, 73.27107933079279 56.089107632991606, 73.21902730814739 56.067837360976156))"
